Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Moldova,MDA,..,..,2258.1251569476,2434.31185785476,2676.82431074629,1079.24542935831,967.950349970039,1029.29452573152,1112.15203869057,1188.89724050237,1280.15910487419,1379.35872376873,1449.57066060438,1497.50908642777,1616.86306055756,1521.93981513885,1631.53583179532,1737.19242698969,1725.2583938038,1887.88303334928,1979.70808107964,1971.05489104997,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,145221.191568424,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Mongolia,MNG,..,..,..,1668.49396486136,1761.21743667907,1459.10696032563,1600.47819460422,1632.55643107847,1693.18927696614,1793.04821913557,1961.6577230354,2079.11160692777,2228.74335483618,2424.64718669705,2603.40842956989,2531.95836162644,2650.34688487431,3056.31503911655,3372.62716494393,3698.55251178436,3920.67292628292,3943.9010306115,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Montenegro,MNE,..,..,..,..,..,..,4797.1234420627,4830.41687340258,4902.50847818873,5005.0534588477,5216.02413931415,5426.69810499967,5884.2435888463,6502.39378160295,6940.20021614437,6533.56735476568,6682.28115774575,6890.77333865461,6697.44457797724,6928.37021842872,7045.11380854693,7276.10136913551,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Morocco,MAR,1017.04716548705,1163.13658380618,1345.73521892692,1462.9406468802,1715.95583835792,1716.8960989657,1966.0691991557,2087.07401137822,2129.95167967103,2234.20998284744,2317.84232600149,2369.56666172394,2522.29836483006,2583.32623476471,2705.78636705128,2787.40716755005,2857.6734140278,2967.76992367239,3014.72703258224,3112.59013137714,3143.44757906652,3237.8322141178,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Mozambique,MOZ,..,..,189.074411781582,134.040100124412,171.303277992424,168.931226381602,253.774484949866,278.022565010549,293.774669803616,303.769406263445,318.008091465875,335.863894732065,358.57659463562,374.492934948691,389.187158213903,402.477723312084,417.501231533203,434.784799668041,453.11291435341,472.004826475729,493.137155154745,509.774885113473,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Namibia,NAM,..,..,4357.30788077174,3799.38565682287,3507.48435045394,3619.79382056748,3749.28732120783,3728.52147958635,3853.69490728573,3970.87522927888,4408.63560485346,4465.99646065454,4719.2817847716,4960.89085867958,5014.05017205694,4943.2498006234,5143.13067579247,5292.74779208093,5435.71419554635,5608.60200086804,5823.99326366028,6013.76684174615,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Nepal,NPL,286.494328076428,282.176188280923,283.282022387479,320.507863699225,357.353531656991,403.154953163497,459.131153859028,473.179840967759,466.482815181842,478.023902036473,493.86970972037,504.86691180265,516.037293534882,528.12891848682,554.801518217707,574.117654971979,595.427519830012,608.92952409369,630.589595796001,648.735831922658,675.397961143861,689.812005793873,..
