Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Seychelles,SYC,53600,59600,64400,67400,70000,75304,81131,81202,83700,82800,82500,82900,84600,85033,86956,87298,89770,87441,88303,89900,91400,92900,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,2514151,2765914,3086406,3466044,3931208,3837807,4060709,4220198,4422154,4647701,4870467,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,6453184,..
"Population, total",SP.POP.TOTL,Singapore,SGP,2074500,2262600,2413945,2735957,3047132,3524506,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,..
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,30519,31189,32566,33790,35316,36934,38270,39462,40458,39133,35474,33435,34640,36607,37685,38817,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,4538223,4739105,4979815,5161768,5299187,5361999,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5424050,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1724891,1793581,1901315,1941641,1998161,1989872,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063768,..
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,160292,193447,230614,270809,311849,359236,412336,423535,434893,446352,457841,469306,480716,492075,503410,514767,526177,537648,549162,560685,572171,583591,..
"Population, total",SP.POP.TOTL,Somalia,SOM,3445420,3880955,6089707,6068425,6321615,6346440,7385416,7610053,7827203,8039104,8251054,8466938,8686939,8909015,9132589,9356827,9581714,9806670,10033630,10268157,10517569,10787104,..
"Population, total",SP.POP.TOTL,South Africa,ZAF,22087000,24728000,27576000,31307880,35200000,39120000,44000000,44909738,45448096,46034026,46641103,47270063,47921682,48596781,49296223,50020918,50771826,51549958,52356381,53192216,54058647,54956920,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,3647097,4117299,4701360,5444907,5762190,5452771,6692999,6967817,7233237,7499695,7784488,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184,12339812,..
"Population, total",SP.POP.TOTL,Spain,ESP,33814531,35530725,37439035,38418817,38850435,39387017,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46418269,..
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,12514000,13496000,14747000,15831000,17078000,18074000,18655000,18797000,18939000,19083000,19227000,19373000,19520000,19668000,19817000,19967000,20118000,20270000,20424000,20579000,20771000,20966000,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,44882,44278,43205,42017,40833,42888,45544,46216,46935,47681,48424,49139,49818,50465,51093,51717,52352,52998,53650,54301,54944,55572,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,104162,109770,117984,126416,138180,147040,156949,158650,160218,161767,163462,165407,167656,170146,172729,175196,177397,179278,180890,182305,183645,184999,..
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,5450,6291,7580,15392,30036,32712,28384,27782,27450,27363,27514,27906,28414,28905,29376,29820,30235,30615,30959,31264,31530,31754,..
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,90457,95614,100506,104477,107509,108122,107897,107989,108150,108354,108563,108749,108908,109049,109165,109255,109316,109341,109334,109327,109360,109462,..
"Population, total",SP.POP.TOTL,Sudan,SDN,10232758,12075841,14418063,17097619,20008804,24691970,28079664,28805142,29569978,30365586,31176209,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274,40234882,..
"Population, total",SP.POP.TOTL,Suriname,SUR,371268,362651,362777,371469,408276,445830,480751,484210,486271,487641,489312,491999,495953,500953,506657,512522,518141,523439,528535,533450,538248,542975,..
"Population, total",SP.POP.TOTL,Swaziland,SWZ,445844,517100,603373,705492,862728,963428,1063715,1074765,1082195,1087949,1094775,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112,1286970,..
"Population, total",SP.POP.TOTL,Sweden,SWE,8042801,8192437,8310531,8350386,8558835,8826939,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9798871,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,6180877,6338632,6319408,6470365,6715519,7040687,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8286976,..
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,6378802,7564000,8956156,10667245,12451539,14331962,16354050,16694414,16997521,17304339,17671913,18132842,18728200,19425597,20097057,20566871,20720602,20501167,19978756,19322593,18772481,18502413,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,2919586,3412819,3917642,4540688,5297286,5784330,6186152,6290413,6406518,6532871,6666628,6805655,6949566,7099021,7254072,7414960,7581696,7753925,7930929,8111894,8295840,8481855,..
"Population, total",SP.POP.TOTL,Tanzania,TZA,13605504,15980265,18684893,21842087,25458208,29903329,33991590,34899062,35855480,36866228,37935334,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621,53470420,..
"Population, total",SP.POP.TOTL,Thailand,THA,36884914,42334954,47385325,52041468,56582824,59266089,62693322,63415174,64136669,64817254,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,67959359,..
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,602737,661634,577580,657018,740231,856439,847185,865848,894837,929431,962634,979201,996052,1013194,1030630,1048367,1066409,1120392,1148958,1180069,1212107,1245015,..
"Population, total",SP.POP.TOTL,Togo,TGO,2115521,2410446,2720838,3252995,3786942,4284286,4874735,5006223,5142419,5283246,5428552,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581,6928719,7115163,7304578,..
"Population, total",SP.POP.TOTL,Tonga,TON,84370,88347,93007,93953,95152,95889,97898,98434,99005,99606,100226,100858,101507,102169,102816,103416,103947,104392,104769,105139,105586,106170,..
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,945996,1011487,1085308,1170935,1221904,1255001,1267980,1272383,1277840,1284052,1290535,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240,1354483,1360088,..
